epoch,test acc
0,0.335
1,0.665
2,0.78
3,0.805
4,0.795
5,0.805
6,0.805
7,0.81
8,0.82
9,0.82
10,0.82
11,0.82
12,0.82
13,0.82
14,0.82
15,0.82
16,0.825
17,0.825
18,0.825
19,0.825
20,0.825
21,0.825
22,0.825
23,0.825
24,0.825
25,0.83
26,0.83
27,0.825
28,0.825
29,0.825
