iter,test acc,w diff
0,0.555,1.0839250087738037
1,0.555,1.084450602531433
2,0.555,1.0825709104537964
3,0.555,1.0828355550765991
4,0.56,1.0785279273986816
5,0.555,1.077932357788086
6,0.555,1.0778862237930298
7,0.56,1.0766643285751343
8,0.56,1.0756421089172363
9,0.56,1.075714111328125
10,0.555,1.0754531621932983
11,0.555,1.0758821964263916
12,0.555,1.0735265016555786
13,0.555,1.0725294351577759
14,0.555,1.0727815628051758
15,0.555,1.0742247104644775
16,0.56,1.0737693309783936
17,0.56,1.073194980621338
18,0.56,1.0726746320724487
19,0.555,1.0668885707855225
20,0.555,1.0651178359985352
21,0.555,1.0637428760528564
22,0.555,1.0631259679794312
23,0.555,1.0624088048934937
24,0.555,1.0606567859649658
25,0.555,1.0605497360229492
26,0.56,1.0593757629394531
27,0.555,1.055129051208496
28,0.555,1.0561919212341309
29,0.56,1.0542118549346924
30,0.56,1.0530625581741333
31,0.56,1.0528247356414795
32,0.555,1.0500534772872925
33,0.555,1.0480912923812866
34,0.555,1.0472420454025269
35,0.565,1.0465813875198364
36,0.565,1.0476624965667725
37,0.565,1.0448603630065918
38,0.565,1.0448460578918457
39,0.56,1.0413146018981934
40,0.565,1.039833664894104
41,0.555,1.0318982601165771
42,0.555,1.031667947769165
43,0.555,1.0312336683273315
44,0.555,1.0251271724700928
45,0.565,1.023634433746338
46,0.565,1.0222876071929932
47,0.57,1.0223257541656494
48,0.57,1.0195083618164062
49,0.57,1.018309473991394
50,0.57,1.0192725658416748
51,0.57,1.018494725227356
52,0.57,1.0156197547912598
53,0.57,1.0120811462402344
54,0.57,1.0110479593276978
55,0.565,1.008604884147644
56,0.57,1.0066382884979248
57,0.575,1.0064374208450317
58,0.57,1.006160855293274
59,0.57,1.0053505897521973
60,0.575,1.002432107925415
61,0.575,1.0026873350143433
62,0.57,0.9999299049377441
63,0.575,0.9990087747573853
64,0.57,0.9944943785667419
65,0.57,0.9945251941680908
66,0.57,0.9900404214859009
67,0.575,0.9884021878242493
68,0.57,0.9883321523666382
69,0.57,0.9890595078468323
70,0.57,0.9868759512901306
71,0.575,0.9868428111076355
72,0.57,0.9861564040184021
73,0.57,0.9861645698547363
74,0.57,0.9845196604728699
75,0.57,0.9835308194160461
76,0.57,0.9827907681465149
77,0.57,0.980290412902832
78,0.57,0.9806474447250366
79,0.57,0.9821504354476929
80,0.57,0.9808384776115417
81,0.57,0.9793996214866638
82,0.57,0.9790984392166138
83,0.57,0.9778251647949219
84,0.575,0.9791407585144043
85,0.57,0.9770179390907288
86,0.57,0.9769361615180969
87,0.57,0.9772233366966248
88,0.57,0.9773992896080017
89,0.57,0.9776127338409424
90,0.57,0.9782792925834656
91,0.565,0.9780730605125427
92,0.575,0.9748530387878418
93,0.57,0.9747844338417053
94,0.57,0.974780797958374
95,0.58,0.9729774594306946
96,0.58,0.9726573824882507
97,0.58,0.9714607000350952
98,0.58,0.9691382646560669
99,0.58,0.9693312048912048
100,0.58,0.963303804397583
101,0.58,0.9630678296089172
102,0.58,0.9614332914352417
103,0.58,0.9590774774551392
104,0.58,0.9587576985359192
105,0.58,0.9553914070129395
106,0.58,0.9552146196365356
107,0.58,0.9551207423210144
108,0.58,0.9525953531265259
109,0.58,0.9528756141662598
110,0.58,0.9511017799377441
111,0.58,0.9518437385559082
112,0.58,0.9523001909255981
113,0.58,0.9520359039306641
114,0.58,0.9495741724967957
115,0.58,0.9497532844543457
116,0.58,0.9458979964256287
117,0.58,0.947024405002594
118,0.58,0.9431347250938416
119,0.58,0.9427229762077332
120,0.58,0.9417883157730103
121,0.58,0.9389763474464417
122,0.58,0.9340131282806396
123,0.58,0.9334776997566223
124,0.58,0.9356237649917603
125,0.58,0.9359506368637085
126,0.58,0.9369916915893555
127,0.58,0.9364175796508789
128,0.58,0.9359768629074097
129,0.58,0.9354804158210754
130,0.58,0.9352279305458069
131,0.58,0.9317135810852051
132,0.58,0.9298673272132874
133,0.58,0.9309712052345276
134,0.58,0.9304869174957275
135,0.58,0.9302393198013306
136,0.58,0.931026041507721
137,0.58,0.9300956130027771
138,0.58,0.9300259351730347
139,0.58,0.9296362996101379
140,0.58,0.9294711351394653
141,0.58,0.9282869100570679
142,0.58,0.9275659918785095
143,0.58,0.9267416000366211
144,0.585,0.9201080203056335
145,0.58,0.9200329184532166
146,0.58,0.9202561974525452
147,0.58,0.9192726612091064
148,0.58,0.9188574552536011
149,0.585,0.9127482771873474
150,0.585,0.9120646119117737
151,0.585,0.9108662605285645
152,0.585,0.9108731150627136
153,0.585,0.9118697047233582
154,0.585,0.90974360704422
155,0.585,0.9094550013542175
156,0.585,0.9089236259460449
157,0.59,0.9076263308525085
158,0.59,0.9057895541191101
159,0.585,0.905533492565155
160,0.585,0.9053031206130981
161,0.59,0.903346836566925
162,0.59,0.9032755494117737
163,0.585,0.9039161205291748
164,0.585,0.9040257334709167
165,0.59,0.9013589024543762
166,0.59,0.9012200236320496
167,0.59,0.9015865325927734
168,0.59,0.9019719958305359
169,0.59,0.9023265838623047
170,0.59,0.9025164842605591
171,0.59,0.9016366600990295
172,0.59,0.8988682627677917
173,0.59,0.8990846872329712
174,0.59,0.90030837059021
175,0.59,0.9004409313201904
176,0.59,0.8951858282089233
177,0.59,0.8945014476776123
178,0.59,0.8947213292121887
179,0.59,0.8944572806358337
180,0.59,0.8925424218177795
181,0.59,0.8920425772666931
182,0.59,0.8920117616653442
183,0.59,0.8927789926528931
184,0.59,0.8923047184944153
185,0.59,0.8907020092010498
186,0.59,0.8888148069381714
187,0.59,0.8885809779167175
188,0.59,0.8881746530532837
189,0.59,0.8882083892822266
190,0.59,0.8825883865356445
191,0.59,0.8823026418685913
192,0.59,0.878844678401947
193,0.595,0.875568151473999
194,0.6,0.8753352761268616
195,0.61,0.8737768530845642
196,0.605,0.8722031712532043
197,0.595,0.8722972273826599
198,0.595,0.8714953660964966
199,0.59,0.8705537915229797
200,0.59,0.8708968162536621
201,0.59,0.8709671497344971
202,0.59,0.8691441416740417
203,0.59,0.8697863817214966
204,0.59,0.8699671626091003
205,0.59,0.8681378364562988
206,0.59,0.867822527885437
207,0.59,0.8650961518287659
208,0.59,0.8600382208824158
209,0.605,0.858910083770752
210,0.595,0.8589771389961243
211,0.595,0.8582559823989868
212,0.595,0.8584460020065308
213,0.59,0.8587512373924255
214,0.59,0.8568981289863586
