epoch,test acc
0,0.37
1,0.5
2,0.75
3,0.845
4,0.855
5,0.835
6,0.835
7,0.83
8,0.825
9,0.825
10,0.825
11,0.825
12,0.825
13,0.825
14,0.825
15,0.825
16,0.825
17,0.825
18,0.825
19,0.83
20,0.83
21,0.83
22,0.83
23,0.83
24,0.83
25,0.83
26,0.835
27,0.835
28,0.835
29,0.835
