epoch,test acc
0,0.5
1,0.735
2,0.755
3,0.775
4,0.765
5,0.77
6,0.77
7,0.78
8,0.78
9,0.78
10,0.78
11,0.775
12,0.785
13,0.785
14,0.785
15,0.79
16,0.79
17,0.79
18,0.79
19,0.795
20,0.8
21,0.8
22,0.8
23,0.8
24,0.8
25,0.805
26,0.81
27,0.81
28,0.81
29,0.81
