iter,sgd perceptual loss,baseline perceptual loss,student perceptual loss
0,9.405993461608887,13.2086181640625,51.77223587036133
1,9.152405738830566,13.2086181640625,52.077728271484375
2,13.379777908325195,13.2086181640625,51.40324401855469
3,12.110730171203613,10.957289695739746,53.13777542114258
4,11.542131423950195,13.2086181640625,54.26935958862305
5,9.620360374450684,10.897527694702148,54.423038482666016
6,12.0216646194458,13.2086181640625,53.58083724975586
7,9.460975646972656,10.897527694702148,51.480194091796875
8,11.096338272094727,13.2086181640625,52.85126495361328
9,10.14924144744873,10.897527694702148,51.51963806152344
10,10.043146133422852,13.2086181640625,51.5006217956543
11,12.446878433227539,11.088558197021484,52.24089431762695
12,9.279915809631348,10.897527694702148,53.213287353515625
13,12.549642562866211,10.762344360351562,51.975948333740234
14,12.303287506103516,10.897527694702148,52.82769775390625
15,12.754453659057617,11.088558197021484,51.47483444213867
16,14.733159065246582,10.897527694702148,54.25562286376953
17,15.840385437011719,11.088558197021484,52.26218795776367
18,9.805832862854004,10.897527694702148,51.893646240234375
19,11.675686836242676,11.088558197021484,51.911231994628906
20,9.982598304748535,10.957289695739746,53.07612609863281
21,12.313438415527344,10.762344360351562,51.24663543701172
22,9.252264022827148,10.897527694702148,53.219913482666016
23,14.97418212890625,11.088558197021484,54.37890625
24,10.850984573364258,10.897527694702148,54.215049743652344
25,12.331574440002441,11.088558197021484,52.055335998535156
26,10.674914360046387,10.957289695739746,54.468990325927734
27,9.869023323059082,10.762344360351562,53.39205551147461
28,12.88507080078125,10.897527694702148,51.530555725097656
29,12.984624862670898,11.088558197021484,53.666927337646484
30,10.348936080932617,10.897527694702148,54.49314498901367
31,12.838475227355957,11.088558197021484,51.37852478027344
32,10.940053939819336,10.897527694702148,53.8234977722168
33,13.163268089294434,10.762344360351562,51.41574478149414
34,13.407204627990723,10.957289695739746,52.173423767089844
35,8.80215835571289,11.088558197021484,54.091407775878906
36,9.440803527832031,10.897527694702148,54.37452697753906
37,13.258195877075195,11.088558197021484,51.627098083496094
38,8.593509674072266,10.897527694702148,51.73131561279297
39,9.760432243347168,10.762344360351562,53.7389030456543
40,13.931334495544434,10.957289695739746,52.54997253417969
41,9.958751678466797,11.088558197021484,52.18359375
42,9.211519241333008,10.897527694702148,53.900875091552734
43,13.806775093078613,11.088558197021484,52.10390853881836
44,9.239089012145996,10.897527694702148,52.976680755615234
45,6.84051513671875,10.762344360351562,54.26767349243164
46,10.419394493103027,10.957289695739746,53.539772033691406
47,15.056852340698242,11.088558197021484,52.36838912963867
48,15.529762268066406,10.897527694702148,54.8606071472168
49,10.02601146697998,11.088558197021484,53.237972259521484
50,16.70245361328125,10.897527694702148,52.997642517089844
51,9.071600914001465,10.762344360351562,55.767242431640625
52,9.402626037597656,10.897527694702148,51.9053955078125
53,9.829787254333496,11.088558197021484,52.86165237426758
54,9.216862678527832,10.957289695739746,52.25371170043945
55,12.941268920898438,11.088558197021484,54.655757904052734
56,11.326631546020508,10.897527694702148,51.74397659301758
57,11.748374938964844,10.762344360351562,52.305992126464844
58,11.657310485839844,10.897527694702148,53.21551513671875
59,11.832794189453125,11.088558197021484,52.249473571777344
60,10.545008659362793,10.957289695739746,52.066707611083984
61,9.982598304748535,11.088558197021484,51.392333984375
62,10.28171157836914,10.897527694702148,51.17057800292969
63,9.21408462524414,10.762344360351562,54.37032699584961
64,12.934671401977539,10.897527694702148,52.77495193481445
65,12.722938537597656,11.088558197021484,52.292301177978516
66,11.69697093963623,10.897527694702148,52.45840835571289
67,10.348936080932617,11.088558197021484,53.991024017333984
68,15.001501083374023,10.957289695739746,53.8820915222168
69,9.517574310302734,10.762344360351562,53.93083190917969
70,9.580087661743164,10.897527694702148,53.96921157836914
71,11.017889976501465,11.088558197021484,55.097076416015625
72,11.608794212341309,10.897527694702148,52.34589385986328
73,10.769618034362793,11.088558197021484,53.106082916259766
74,13.43980884552002,10.957289695739746,53.816253662109375
75,10.540419578552246,10.762344360351562,52.104225158691406
76,10.955909729003906,10.897527694702148,53.679588317871094
77,14.414884567260742,11.088558197021484,51.69477462768555
78,13.845269203186035,10.897527694702148,54.58550262451172
79,11.99194049835205,11.088558197021484,51.85874557495117
80,8.476468086242676,8.801115989685059,52.074283599853516
81,10.08275318145752,11.088558197021484,51.91001510620117
82,12.048495292663574,10.897527694702148,52.96187973022461
83,12.81265640258789,11.088558197021484,52.98440933227539
84,12.844897270202637,10.897527694702148,54.37384033203125
85,11.675686836242676,10.762344360351562,54.1736946105957
86,10.294540405273438,8.801115989685059,51.354000091552734
87,8.7059326171875,11.088558197021484,52.18768310546875
88,11.366446495056152,10.897527694702148,51.138980865478516
89,11.62706184387207,11.088558197021484,53.478824615478516
90,9.402626037597656,10.762344360351562,52.62541580200195
91,12.29601764678955,10.897527694702148,52.73092269897461
92,12.042437553405762,11.088558197021484,52.335609436035156
93,10.384413719177246,8.801115989685059,54.70526123046875
94,13.522555351257324,11.266242980957031,54.16329574584961
95,9.239089012145996,10.897527694702148,55.191261291503906
96,10.126398086547852,10.762344360351562,52.11848831176758
97,10.925329208374023,10.897527694702148,53.7673225402832
98,12.214834213256836,11.088558197021484,52.61518859863281
99,11.634862899780273,8.801115989685059,53.6330451965332
100,8.476468086242676,11.266242980957031,53.752899169921875
101,12.333775520324707,10.897527694702148,53.00751495361328
102,9.84992504119873,11.088558197021484,54.473472595214844
103,10.473495483398438,9.91973876953125,51.25689697265625
104,14.525701522827148,11.088558197021484,52.00660705566406
105,11.606728553771973,10.762344360351562,51.138065338134766
106,7.441497325897217,10.897527694702148,52.75395202636719
107,10.264592170715332,11.266242980957031,52.02135467529297
108,10.621294975280762,9.91973876953125,53.51203155517578
109,12.444252014160156,11.088558197021484,52.05234909057617
