epoch,test acc
0,0.535
1,0.595
2,0.645
3,0.67
4,0.705
5,0.715
6,0.735
7,0.74
8,0.75
9,0.76
10,0.765
11,0.77
12,0.78
13,0.795
14,0.795
15,0.805
16,0.81
17,0.81
18,0.81
19,0.81
20,0.815
21,0.82
22,0.82
23,0.835
24,0.835
25,0.835
26,0.83
27,0.83
28,0.83
29,0.835
