epoch,test acc
0,0.165
1,0.63
2,0.735
3,0.75
4,0.765
5,0.77
6,0.78
7,0.795
8,0.795
9,0.805
10,0.805
11,0.81
12,0.81
13,0.81
14,0.815
15,0.82
16,0.82
17,0.82
18,0.835
19,0.835
20,0.835
21,0.825
22,0.825
23,0.825
24,0.825
25,0.825
26,0.825
27,0.825
28,0.825
29,0.825
