epoch,test acc
0,0.315
1,0.41
2,0.77
3,0.86
4,0.83
5,0.825
6,0.825
7,0.835
8,0.835
9,0.835
10,0.835
11,0.835
12,0.835
13,0.83
14,0.835
15,0.83
